"detail_info" "mean" "std" "samplesize" "detectionfreq"
"222" "0_X_B_Giardia_CystsPer100ml_30_60" "0.03889" "0.0240581857171317" "985" "0/985"
"223" "0_X_B_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "988" "0/988"
"224" "0_X_B_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "991" "0/991"
"225" "0_X_C_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "994" "0/994"
"226" "0_X_C_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "997" "0/997"
"227" "0_X_C_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "22.7833333333333" "20.4695302014156" "1003" "6/1003"
"228" "0_X_C_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "31.3333333333333" "9.86576572463249" "1006" "3/1006"
"229" "0_X_C_Crypto_OocystsPer100ml_0_30" "0.544666666666667" "0.798934498775296" "1009" "1/1009"
"230" "0_X_C_Crypto_OocystsPer100ml_30_60" "4.14066666666667" "7.14067156038795" "1012" "2/1012"
"231" "0_X_C_EColi0157Culturable_MPNPer100ml_0_30" "3" "0" "1015" "0/1015"
"232" "0_X_C_EColi0157Culturable_MPNPer100ml_30_60" "4.4" "2.42487113059643" "1018" "1/1018"
"233" "0_X_C_EColiCulturableColilert_MPNPer100ML_0_30" "6.66666666666667" "5.74239945625098" "1030" "10/1030"
"234" "0_X_C_EColiCulturableColilert_MPNPer100ML_30_60" "55.1666666666667" "72.6399855451528" "1039" "8/1039"
"235" "0_X_C_enterococciCulturableMEI_CFUPer100ML_0_30" "50375" "15823.0628571657" "1051" "12/1051"
"236" "0_X_C_enterococciCulturableMEI_CFUPer100ML_30_60" "39066.6666666667" "18469.9756361507" "1060" "9/1060"
"237" "0_X_C_Giardia_CystsPer100ml_0_30" "7.77777778" "1.92450089537425" "1063" "1/1063"
"238" "0_X_C_Giardia_CystsPer100ml_30_60" "1.71992481333333" "0.989791512163843" "1066" "1/1066"
"239" "0_X_C_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "1069" "0/1069"
"240" "0_X_C_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "1072" "0/1072"
"241" "0_X_D_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "1075" "0/1075"
"242" "0_X_D_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "1078" "0/1078"
"243" "0_X_D_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "125.348333333333" "62.4018911305312" "1084" "6/1084"
"244" "0_X_D_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "93.11" "22.8545684710957" "1087" "3/1087"
"245" "0_X_D_Crypto_OocystsPer100ml_0_30" "45.0666666666667" "75.4599452248233" "1090" "3/1090"
"246" "0_X_D_Crypto_OocystsPer100ml_30_60" "65.5333333333333" "110.650546014619" "1093" "3/1093"
"247" "0_X_D_EColi0157Culturable_MPNPer100ml_0_30" "82" "136.832013797941" "1096" "1/1096"
"248" "0_X_D_EColi0157Culturable_MPNPer100ml_30_60" "369" "633.064767618606" "1099" "2/1099"
"249" "0_X_D_EColiCulturableColilert_MPNPer100ML_0_30" "11.4625" "15.4378390651023" "1111" "12/1111"
"250" "0_X_D_EColiCulturableColilert_MPNPer100ML_30_60" "14.8111111111111" "20.8802355377307" "1120" "7/1120"
"251" "0_X_D_enterococciCulturableMEI_CFUPer100ML_0_30" "16531.9444444167" "18072.7855823097" "1132" "12/1132"
