SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRunoffStarted_Minutes,Notes
D-201-P-10,201,D,1,R_201_D,M_P_Day2_D_Spiked,452,10,
D-201-P-15,201,D,1,R_201_D,M_P_Day2_D_Spiked,970,15,
D-201-P-20,201,D,1,R_201_D,M_P_Day2_D_Spiked,446,20,
D-201-P-30,201,D,1,R_201_D,M_P_Day2_D_Spiked,497,30,
D-201-P-30-T1,201,D,2,R_201_D,M_P_Day2_D_Spiked,442,30,
D-201-P-30-T2,201,D,2,R_201_D,M_P_Day2_D_Spiked,4662,30,
D-201-P-60,201,D,1,R_201_D,M_P_Day2_D_Spiked,433,60,
D-201-P-T1,201,D,2,R_201_D,M_P_Day2_D_Spiked,501,60,
D-201-P-T2,201,D,2,R_201_D,M_P_Day2_D_Spiked,9362,60,
D-202-S-5,202,D,1,R_202_D,M_S_Day2_D_Spiked,436,5,
D-202-S-10,202,D,1,R_202_D,M_S_Day2_D_Spiked,443,10,
D-202-S-15,202,D,1,R_202_D,M_S_Day2_D_Spiked,882,15,
D-202-S-20,202,D,1,R_202_D,M_S_Day2_D_Spiked,447,20,
D-202-S-30,202,D,1,R_202_D,M_S_Day2_D_Spiked,486,30,
D-202-S-30-T1,202,D,2,R_202_D,M_S_Day2_D_Spiked,416,30,
D-202-S-30-T2,202,D,2,R_202_D,M_S_Day2_D_Spiked,2962,30,
D-202-S-60,202,D,1,R_202_D,M_S_Day2_D_Spiked,420,60,
D-202-S-T1,202,D,2,R_202_D,M_S_Day2_D_Spiked,427,60,
D-202-S-T2,202,D,2,R_202_D,M_S_Day2_D_Spiked,7762,60,
D-403-C-5,403,D,1,R_403_D,M_C_Day3_D_Spiked,0,5,
D-403-C-10,403,D,1,R_403_D,M_C_Day3_D_Spiked,0,10,
D-403-C-15,403,D,1,R_403_D,M_C_Day3_D_Spiked,0,15,
D-403-C-20,403,D,1,R_403_D,M_C_Day3_D_Spiked,0,20,
D-403-C-30,403,D,1,R_403_D,M_C_Day3_D_Spiked,0,30,
D-403-C-30-T1,403,D,2,R_403_D,M_C_Day3_D_Spiked,0,30,
D-403-C-30-T2,403,D,2,R_403_D,M_C_Day3_D_Spiked,0,30,
D-403-C-60,403,D,1,R_403_D,M_C_Day3_D_Spiked,0,60,
D-403-C-T1,403,D,2,R_403_D,M_C_Day3_D_Spiked,0,60,
D-403-C-T2,403,D,2,R_403_D,M_C_Day3_D_Spiked,0,60,
D-404-P-5,404,D,1,R_404_D,M_P_Day3_D_Spiked,483,5,
D-404-P-10,404,D,1,R_404_D,M_P_Day3_D_Spiked,486,10,
D-404-P-15,404,D,1,R_404_D,M_P_Day3_D_Spiked,962,15,
D-404-P-20,404,D,1,R_404_D,M_P_Day3_D_Spiked,475,20,
D-404-P-30,404,D,1,R_404_D,M_P_Day3_D_Spiked,461,30,
D-404-P-30-T1,404,D,2,R_404_D,M_P_Day3_D_Spiked,500,30,
D-404-P-30-T2,404,D,2,R_404_D,M_P_Day3_D_Spiked,0,30,
D-404-P-60,404,D,1,R_404_D,M_P_Day3_D_Spiked,436,60,
D-404-P-T1,404,D,2,R_404_D,M_P_Day3_D_Spiked,505,60,
D-404-P-T2,404,D,2,R_404_D,M_P_Day3_D_Spiked,7862,60,
D-409-C-5,409,D,1,R_409_D,M_C_Day3_D_Spiked,246,5,
D-409-C-10,409,D,1,R_409_D,M_C_Day3_D_Spiked,251,10,
D-409-C-15,409,D,1,R_409_D,M_C_Day3_D_Spiked,282,15,
D-409-C-20,409,D,1,R_409_D,M_C_Day3_D_Spiked,344,20,
