SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,Notes
C-503-C-T1,503,C,2,R_503_C,M_C_Day1_C_Spiked,438,186,60,
C-503-C-T2,503,C,2,R_503_C,M_C_Day1_C_Spiked,3762,186,60,
C-504-X-5,504,C,1,R_504_C,M_X_Day1_C,569,68,5,
C-504-X-10,504,C,1,R_504_C,M_X_Day1_C,538,73,10,
C-504-X-15,504,C,1,R_504_C,M_X_Day1_C,937,78,15,
C-504-X-20,504,C,1,R_504_C,M_X_Day1_C,533,83,20,
C-504-X-30,504,C,1,R_504_C,M_X_Day1_C,635,93,30,
C-504-X-30-T1,504,C,2,R_504_C,M_X_Day1_C,565,98,30,
C-504-X-30-T2,504,C,2,R_504_C,M_X_Day1_C,4362,98,30,
C-504-X-60,504,C,1,R_504_C,M_X_Day1_C,681,123,60,
C-504-X-T1,504,C,2,R_504_C,M_X_Day1_C,531,128,60,
C-504-X-T2,504,C,2,R_504_C,M_X_Day1_C,5962,128,60,
C-401-S-5,401,C,1,R_401_C,M_S_Day2_C_Spiked,472,93,5,
C-401-S-10,401,C,1,R_401_C,M_S_Day2_C_Spiked,580,98,10,
C-401-S-15,401,C,1,R_401_C,M_S_Day2_C_Spiked,926,103,15,
C-401-S-20,401,C,1,R_401_C,M_S_Day2_C_Spiked,601,108,20,
C-401-S-30,401,C,1,R_401_C,M_S_Day2_C_Spiked,475,118,30,
C-401-S-30-T1,401,C,2,R_401_C,M_S_Day2_C_Spiked,856,123,30,
C-401-S-30-T2,401,C,2,R_401_C,M_S_Day2_C_Spiked,7662,123,30,
C-401-S-60,401,C,1,R_401_C,M_S_Day2_C_Spiked,590,148,60,
C-401-S-T1,401,C,2,R_401_C,M_S_Day2_C_Spiked,867,153,60,
